keys,en,de
Options,Options,Einstellungen
Continue,Continue,Weiter
New Game,New Game,Neues Spiel
Quit,Quit,Verlassen
Build,Build,Bauen
Craft,Craft,Herstellen
Stop,Stop,Stoppen
Materials,Materials,Materialien
Needs,Needs,Materialien
Buildings,Buildings,Gebäude
Inventory,Inventory,Inventar
Craft {special_amount},Craft {special_amount},{special_amount} herstellen
Craft x{amount},Craft x{amount},{amount}x herstellen
Materials (batch),Materials (per batch),Materialien (je Batch)
Resume,Resume,Fortsetzen
Back to Title,Back to Title,Zum Hauptmenü
Save,Save,Speichern
Load,Load,Laden
- Paused -,- Paused -,- Pausiert -
Saved successfully.,[color=green]Saved successfully.[/color],[color=green]Speichern erfolgreich.[/color]
Master volume,Master volume,Gesamtlautstärke
SFX volume,SFX volume,Effektlautstärke
Music volume,Music volume,Musiklautstärke
General,General,Allgemein
Controls,Controls,Steuerung
Graphics,Graphics,Grafik
Audio,Audio,Audio
Credits,Credits,Abspann
Language,Language,Sprache
Coming soon,Coming soon,Folgt in Kürze
